country,iso,region,score,rank,interval
Mozambique,MOZ,SSA,2.7,116,2.0 - 3.3
Myanmar,MMR,AP,1.4,176,0.9 - 1.9
Namibia,NAM,SSA,4.4,56,3.3 - 5.1
Nepal,NPL,AP,2.2,146,1.8 - 2.9
Netherlands,NLD,WE/EU,8.8,7,8.5 - 9.2
New Zealand,NZL,AP,9.3,1,8.9 - 9.5
Nicaragua,NIC,AME,2.5,127,1.9 - 2.8
Niger,NER,SSA,2.6,123,2.1 - 3.1
Nigeria,NGA,SSA,2.4,134,2.0 - 3.3
Norway,NOR,WE/EU,8.6,10,7.4 - 9.3
Oman,OMN,MENA,5.3,41,3.1 - 7.1
Pakistan,PAK,AP,2.3,143,1.8 - 3.3
Panama,PAN,AME,3.6,73,3.1 - 4.7
Papua New Guinea,PNG,AP,2.1,154,1.4 - 2.7
Paraguay,PRY,AME,2.2,146,1.7 - 2.7
Peru,PER,AME,3.5,78,3.3 - 3.7
Philippines,PHL,AP,2.4,134,1.8 -3.4
Poland,POL,WE/EU,5.3,41,4.7 - 5.8
Portugal,PRT,WE/EU,6,32,5.0 - 7.4
Qatar,QAT,MENA,7.7,19,4.5 - 9.2
Romania,ROU,WE/EU,3.7,69,2.4 - 4.9
Russia,RUS,ECA,2.1,154,1.4 - 2.6
Rwanda,RWA,SSA,4,66,3.0 - 6.7
Sao Tome and Principe,STP,SSA,3,101,2.6 - 3.3
Saudi Arabia,SAU,MENA,4.7,50,2.3 - 7.3
Senegal,SEN,SSA,2.9,105,2.1 - 3.4
Serbia,SRB,ECA,3.5,78,2.7 - 4.5
Seychelles,SYC,SSA,4.8,49,3.0 - 6.8
Sierra Leone,SLE,SSA,2.4,134,1.9 - 2.7
Singapore,SGP,AP,9.3,1,8.9 - 9.5
Slovakia,SVK,WE/EU,4.3,59,3.1 - 5.8
Slovenia,SVN,WE/EU,6.4,27,5.0 - 7.4
Solomon Islands,SLB,AP,2.8,110,2.3 - 3.4
Somalia,SOM,SSA,1.1,178,0.9 - 1.4
South Africa,ZAF,SSA,4.5,54,3.4 - 5.1
Spain,ESP,WE/EU,6.1,30,5.3 - 6.8
Sri Lanka,LKA,AP,3.2,91,2.3 - 4.1
Sudan,SDN,SSA,1.6,172,1.2 - 2.1
Sweden,SWE,WE/EU,9.2,4,8.9 - 9.5
